항목ID,항목명,데이터타입,설문 문항
J_03_14_006#5,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#6,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#7,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#8,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#9,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#10,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#11,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#12,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_006#13,최근 1개월 간 스타일러 브랜드를 접촉한 채널,복수,"스타일러 상표 선택 시, 영향을 미쳤던 정보채널과 최근 1개월 동안 스타일러 브랜드를 접할 수 있었던 채널을 모두 골라주십시오. "
J_03_14_007,향후 1년 내 스타일러 구입 의향,단수,향후 1년 이내에 스타일러를 구입하실  의향이 있습니까?
J_03_14_008,스타일러 선택 시 영향 요소 1순위,단수,"(문1에서 ①보유자 또는 문5에서 ①구입 의향자만)   스타일러 상표 선택 시, 가장 큰 영향을  미치는 요소는 어떤 것입니까? 순서대로 2가지만  말씀해 주십시"
J_03_14_009,스타일러 선택 시 영향 요소 2순위,단수,"(문1에서 ①보유자 또는 문5에서 ①구입 의향자만)   스타일러 상표 선택 시, 가장 큰 영향을  미치는 요소는 어떤 것입니까? 순서대로 2가지만  말씀해 주십시"
J_03_15_001,건조기 보유 여부,단수,귀댁에는 건조기가 있습니까?
J_03_15_003,건조기 상표 선택 시 광고의 영향력,단수,"건조기 상표 선택 시, 광고의 영향력은 어느 정도입니까?"
J_03_15_004#1,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#2,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#3,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#4,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#5,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#6,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#7,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#8,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#9,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#10,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#11,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#12,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_004#13,건조기 브랜드 선택 시 영향을 미쳤던 정보 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#1,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#2,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#3,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#4,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#5,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#6,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#7,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#8,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#9,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#10,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#11,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#12,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_005#13,최근 1개월 간 건조기 브랜드를 접촉한 채널,복수,"건조기 상표 선택 시, 영향을 미쳤던 정보채널과 최 근 1개월 동안 건조기 브랜드를 접할 수 있었던 채 널을 모두 골라주십시오. "
J_03_15_006,향후 1년 내 건조기 구매 의향,단수,향후 1년 이내에 건조기를 구입하실 의향이 있습니까?
J_03_15_007,건조기 구매 영향 요소 1순위,복수,"(문1에서 ①보유자 또는 문5에서 ①구입 의향자만) 건조기 상표 선택 시, 가장 큰 영향을 미치는 요소는 어떤 것입니까? 순서대로 2가지만 말씀해 주십시오."
J_03_15_008,건조기 구매 영향 요소 2순위,복수,"(문1에서 ①보유자 또는 문5에서 ①구입 의향자만) 건조기 상표 선택 시, 가장 큰 영향을 미치는 요소는 어떤 것입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_01_001,최근 3개월 이내 탄산음료 음용 여부,단수,최근 3개월 이내에 탄산음료를 마셔 보셨습니까?
J_05_01_002,탄산음료 음용 빈도,단수,탄산음료를 얼마나 자주 마시나요?
J_05_01_005,탄산음료 선택시 고려 사항 1순위,단수,"탄산음료 브랜드 선택 시, 가장 크게 고려하는 요소는 무엇입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_01_006,탄산음료 선택시 고려 사항 2순위,단수,"탄산음료 브랜드 선택 시, 가장 크게 고려하는 요소는 무엇입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_01_007,탄산음료 선택시 광고의 영향력,단수,"탄산음료 브랜드 선택 시, 광고의 영향력은 어느 정도입니까?"
J_05_01_008#1,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#2,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#3,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#4,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#5,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#6,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#7,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#8,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#9,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#10,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#11,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#12,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_008#13,탄산음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산음료 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_01_010#1,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#2,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#3,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#4,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#5,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#6,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#7,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#8,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#9,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#10,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#11,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#12,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_01_010#13,최근 1달간 탄산음료 브랜드를 접촉한 채널,복수,"탄산음료 브랜드 선택 시, 최근 1개월 동안 탄산음료 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_001,최근 3개월 이내 탄산수 음용 여부,단수,최근 3개월 이내에 탄산수를 마셔 보셨습니까?
J_05_05_010,최근 3개월 이내 탄산수 구매 경험,단수,최근 3개월 이내에 탄산수를 구매하셨습니까?
J_05_05_011,탄산수 구매 빈도,단수,탄산수를 얼마나 자주 구매 하시나요?
J_05_05_005,탄산수 선택시 고려 사항 1순위,단수,"탄산수 브랜드 선택 시, 가장 크게 고려하는 요소는 무엇입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_05_006,탄산수 선택시 고려 사항 2순위,단수,"탄산수 브랜드 선택 시, 가장 크게 고려하는 요소는 무엇입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_05_007,탄산수 선택시 광고의 영향력,단수,"탄산수 선택 시, 광고의 영향력은 어느 정도입니까?"
J_05_05_008#1,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#2,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#3,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#4,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#5,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#6,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#7,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#8,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#9,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#10,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#11,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#12,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_008#13,탄산수 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"탄산수 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라주십시오."
J_05_05_009#1,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#2,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#3,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#4,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#5,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#6,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#7,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#8,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#9,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#10,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#11,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#12,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_05_009#13,최근 1달간 탄산수 브랜드를 접촉한 채널,복수,"탄산수 브랜드 선택 시, 최근 1개월 동안 탄산수 브랜드를 접할 수 있었던 채널을 모두 골라주십시오."
J_05_06_001,최근 3개월 이내 기능성음료 음용 여부,단수,최근 3개월 이내에 기능성음료(스포츠/숙취해소제/드링크류)를 마셔보셨습니까?
J_05_06_002,기능성음료 음용 빈도,단수,기능성음료(스포츠/숙취해소제/드링크류)를 얼마나 자주 마시나요?
J_05_06_007,음주시 숙취해소제 음용 빈도,단수,음주 전후에 숙취해소제를 얼마나 자주 드시나요?
J_05_06_008,기능성음료 선택시 고려 사항 1순위,단수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 가장 크게 고려하는 요소는 무엇입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_06_009,기능성음료 선택시 고려 사항 2순위,단수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 가장 크게 고려하는 요소는 무엇입니까? 순서대로 2가지만 말씀해 주십시오."
J_05_06_010,기능성음료 선택 시 광고의 영향력,단수,"기능성 음료(스포츠/숙취해소제/드링크류) 선택 시, 광고의 영향력은 어느 정도입니까?"
J_05_06_011#1,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#2,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#3,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#4,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#5,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#6,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#7,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#8,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#9,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#10,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#11,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#12,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_011#13,기능성음료 브랜드 선택시 영향을 미쳤던 정보 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 영향을 미쳤던 정보채널을 모두 골라 주십시오."
J_05_06_013#1,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#2,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#3,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#4,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#5,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#6,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#7,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#8,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#9,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
J_05_06_013#10,최근 1달간 기능성음료 브랜드를 접촉한 채널,복수,"기능성음료(스포츠/숙취해소제/드링크류) 브랜드 선택 시, 최근 1개월 동안 기능성음료 (스포츠/숙취해소제/드링크류) 브랜드를 접할 수 있었던 채널을 모두 골라 주십시오."
